0,NAME,B11012_001E,B11012_002E,B11012_003E,B11012_004E,B11012_008E,B11012_013E,state,county,tract,block group
1,"Block Group 3, Census Tract 8013, Westmoreland County, Pennsylvania",730,393,127,266,168,77,42,129,801300,3
2,"Block Group 3, Census Tract 8019, Westmoreland County, Pennsylvania",797,496,125,371,138,128,42,129,801900,3
3,"Block Group 2, Census Tract 8019, Westmoreland County, Pennsylvania",369,280,75,205,32,38,42,129,801900,2
4,"Block Group 1, Census Tract 8019, Westmoreland County, Pennsylvania",619,230,62,168,153,170,42,129,801900,1
5,"Block Group 4, Census Tract 8019, Westmoreland County, Pennsylvania",1103,431,135,296,411,242,42,129,801900,4
6,"Block Group 3, Census Tract 102.10, York County, Pennsylvania",238,148,68,80,52,33,42,133,010210,3
7,"Block Group 2, Census Tract 102.10, York County, Pennsylvania",337,234,66,168,68,27,42,133,010210,2
8,"Block Group 1, Census Tract 102.20, York County, Pennsylvania",453,201,20,181,128,75,42,133,010220,1
9,"Block Group 4, Census Tract 102.20, York County, Pennsylvania",273,169,35,134,72,20,42,133,010220,4
10,"Block Group 6, Census Tract 102.20, York County, Pennsylvania",350,227,76,151,16,74,42,133,010220,6
11,"Block Group 2, Census Tract 122, Cumberland County, Pennsylvania",514,103,12,91,153,235,42,041,012200,2
12,"Block Group 3, Census Tract 105, Cumberland County, Pennsylvania",358,161,69,92,74,114,42,041,010500,3
13,"Block Group 2, Census Tract 105, Cumberland County, Pennsylvania",479,227,124,103,145,97,42,041,010500,2
14,"Block Group 3, Census Tract 116.01, Cumberland County, Pennsylvania",1093,346,48,298,452,282,42,041,011601,3
15,"Block Group 1, Census Tract 121, Cumberland County, Pennsylvania",572,132,33,99,155,209,42,041,012100,1
16,"Block Group 1, Census Tract 3027.03, Chester County, Pennsylvania",831,595,192,403,144,72,42,029,302703,1
17,"Block Group 1, Census Tract 3027.04, Chester County, Pennsylvania",791,454,211,243,247,52,42,029,302704,1
18,"Block Group 1, Census Tract 3030, Chester County, Pennsylvania",1161,746,300,446,210,147,42,029,303000,1
19,"Block Group 2, Census Tract 3038.02, Chester County, Pennsylvania",846,665,326,339,122,35,42,029,303802,2
20,"Block Group 3, Census Tract 3038.02, Chester County, Pennsylvania",592,481,374,107,81,30,42,029,303802,3
21,"Block Group 1, Census Tract 3041.02, Chester County, Pennsylvania",354,118,65,53,102,112,42,029,304102,1
22,"Block Group 2, Census Tract 3041.02, Chester County, Pennsylvania",975,489,245,244,282,167,42,029,304102,2
23,"Block Group 3, Census Tract 3060, Chester County, Pennsylvania",1945,1342,554,788,349,194,42,029,306000,3
24,"Block Group 1, Census Tract 3074, Chester County, Pennsylvania",449,206,102,104,128,45,42,029,307400,1
25,"Block Group 4, Census Tract 9619, Indiana County, Pennsylvania",334,125,38,87,125,61,42,063,961900,4
26,"Block Group 3, Census Tract 9619, Indiana County, Pennsylvania",501,275,84,191,98,90,42,063,961900,3
27,"Block Group 2, Census Tract 210.10, York County, Pennsylvania",1070,659,254,405,171,150,42,133,021010,2
28,"Block Group 1, Census Tract 210.10, York County, Pennsylvania",675,451,206,245,73,117,42,133,021010,1
29,"Block Group 2, Census Tract 210.20, York County, Pennsylvania",335,205,30,175,19,49,42,133,021020,2
30,"Block Group 4, Census Tract 210.20, York County, Pennsylvania",497,252,84,168,109,47,42,133,021020,4
31,"Block Group 3, Census Tract 210.20, York County, Pennsylvania",944,523,288,235,168,154,42,133,021020,3
32,"Block Group 1, Census Tract 101.20, York County, Pennsylvania",332,158,82,76,139,28,42,133,010120,1
33,"Block Group 3, Census Tract 101.20, York County, Pennsylvania",690,330,78,252,186,119,42,133,010120,3
34,"Block Group 4, Census Tract 101.20, York County, Pennsylvania",307,178,45,133,98,8,42,133,010120,4
35,"Block Group 1, Census Tract 228, York County, Pennsylvania",296,129,38,91,120,13,42,133,022800,1
36,"Block Group 4, Census Tract 228, York County, Pennsylvania",501,212,82,130,79,106,42,133,022800,4
37,"Block Group 1, Census Tract 515, Columbia County, Pennsylvania",409,261,87,174,74,47,42,037,051500,1
38,"Block Group 3, Census Tract 9611, Bedford County, Pennsylvania",346,191,53,138,93,60,42,009,961100,3
39,"Block Group 2, Census Tract 137, Cambria County, Pennsylvania",321,145,31,114,107,60,42,021,013700,2
40,"Block Group 5, Census Tract 324, Susquehanna County, Pennsylvania",273,169,33,136,28,54,42,115,032400,5
41,"Block Group 1, Census Tract 9505, Elk County, Pennsylvania",459,133,43,90,111,137,42,047,950500,1
42,"Block Group 1, Census Tract 135, Cambria County, Pennsylvania",548,138,55,83,192,158,42,021,013500,1
43,"Block Group 2, Census Tract 135, Cambria County, Pennsylvania",492,97,38,59,222,83,42,021,013500,2
44,"Block Group 3, Census Tract 136, Cambria County, Pennsylvania",333,135,23,112,119,53,42,021,013600,3
45,"Block Group 4, Census Tract 180.02, Northampton County, Pennsylvania",861,491,127,364,248,109,42,095,018002,4
46,"Block Group 2, Census Tract 180.02, Northampton County, Pennsylvania",383,271,120,151,61,51,42,095,018002,2
47,"Block Group 2, Census Tract 164, Northampton County, Pennsylvania",1356,819,278,541,295,153,42,095,016400,2
48,"Block Group 2, Census Tract 312.01, Adams County, Pennsylvania",775,462,165,297,164,116,42,001,031201,2
49,"Block Group 2, Census Tract 2071.03, Montgomery County, Pennsylvania",702,536,147,389,100,50,42,091,207103,2
50,"Block Group 1, Census Tract 2006.07, Montgomery County, Pennsylvania",705,537,226,311,102,59,42,091,200607,1
51,"Block Group 2, Census Tract 2006.07, Montgomery County, Pennsylvania",895,527,294,233,246,76,42,091,200607,2
52,"Block Group 1, Census Tract 2065.01, Montgomery County, Pennsylvania",1408,1119,644,475,177,83,42,091,206501,1
53,"Block Group 1, Census Tract 2067.04, Montgomery County, Pennsylvania",1704,1385,638,747,162,78,42,091,206704,1
54,"Block Group 2, Census Tract 2067.04, Montgomery County, Pennsylvania",791,568,296,272,169,25,42,091,206704,2
55,"Block Group 3, Census Tract 2005.05, Montgomery County, Pennsylvania",924,729,431,298,139,56,42,091,200505,3
56,"Block Group 2, Census Tract 2005.05, Montgomery County, Pennsylvania",938,379,182,197,146,193,42,091,200505,2
57,"Block Group 2, Census Tract 2060.04, Montgomery County, Pennsylvania",989,614,261,353,249,60,42,091,206004,2
58,"Block Group 3, Census Tract 2069.01, Montgomery County, Pennsylvania",808,539,272,267,144,82,42,091,206901,3
59,"Block Group 2, Census Tract 2069.01, Montgomery County, Pennsylvania",806,228,75,153,317,239,42,091,206901,2
60,"Block Group 2, Census Tract 2111.02, Luzerne County, Pennsylvania",306,159,34,125,49,62,42,079,211102,2
61,"Block Group 1, Census Tract 9807, Philadelphia County, Pennsylvania",0,0,0,0,0,0,42,101,980700,1
62,"Block Group 3, Census Tract 27.01, Philadelphia County, Pennsylvania",616,276,104,172,86,196,42,101,002701,3
63,"Block Group 2, Census Tract 337.01, Philadelphia County, Pennsylvania",400,124,48,76,115,100,42,101,033701,2
64,"Block Group 3, Census Tract 337.01, Philadelphia County, Pennsylvania",1340,605,212,393,516,205,42,101,033701,3
65,"Block Group 2, Census Tract 8060, Westmoreland County, Pennsylvania",778,355,126,229,303,109,42,129,806000,2
66,"Block Group 1, Census Tract 8060, Westmoreland County, Pennsylvania",437,151,56,95,181,97,42,129,806000,1
67,"Block Group 1, Census Tract 124.03, Lancaster County, Pennsylvania",1095,686,292,394,202,130,42,071,012403,1
68,"Block Group 3, Census Tract 124.04, Lancaster County, Pennsylvania",375,225,85,140,67,58,42,071,012404,3
69,"Block Group 2, Census Tract 124.04, Lancaster County, Pennsylvania",757,557,170,387,95,105,42,071,012404,2
70,"Block Group 4, Census Tract 124.04, Lancaster County, Pennsylvania",173,44,28,16,17,42,42,071,012404,4
71,"Block Group 1, Census Tract 121.04, Lancaster County, Pennsylvania",1601,958,500,458,331,240,42,071,012104,1
